SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-03-10,448.00,461.10,445.10,459.00,2.48,"56,684.00","25,863,126.50"
2,2024-03-07,437.00,449.80,437.00,447.90,2.49,"42,963.00","19,122,551.20"
3,2024-03-06,434.00,445.50,428.00,437.00,0.69,"46,061.00","20,103,665.60"
4,2024-03-05,450.00,450.00,432.40,434.00,-2.47,"59,212.00","26,058,535.00"
5,2024-03-04,429.40,454.00,429.40,445.00,5.70,"3,985.00","1,792,467.00"
6,2024-03-03,418.50,430.00,418.50,421.00,-1.41,"32,952.00","13,940,362.00"
7,2024-02-29,430.00,435.10,426.00,427.00,-1.61,"19,812.00","8,499,011.60"
8,2024-02-28,433.00,450.00,431.00,434.00,-0.02,"17,855.00","7,824,962.00"
9,2024-02-27,429.00,437.00,429.00,434.10,0.49,"22,878.00","9,919,322.10"
10,2024-02-26,424.00,434.70,424.00,432.00,1.03,"27,782.00","11,919,111.50"
11,2024-02-25,428.00,436.00,427.00,427.60,-0.14,"38,625.00","16,664,751.20"
12,2024-02-22,434.00,440.00,428.00,428.20,-1.38,"32,837.00","14,240,563.70"
13,2024-02-21,436.00,445.00,433.10,434.20,-0.98,"30,636.00","13,372,299.40"
14,2024-02-20,441.00,443.90,436.00,438.50,-0.57,"35,686.00","15,691,663.20"
15,2024-02-18,440.00,450.00,439.90,441.00,-1.36,"38,182.00","16,853,010.20"
16,2024-02-15,443.10,460.00,443.10,447.10,-1.11,"42,602.00","19,179,671.00"
17,2024-02-14,451.00,459.00,451.00,452.10,-0.64,"25,123.00","11,429,126.90"
18,2024-02-13,455.10,461.00,451.00,455.00,-1.94,"44,197.00","20,145,307.90"
19,2024-02-12,461.00,470.00,461.00,464.00,0.41,"32,154.00","14,911,823.70"
20,2024-02-11,466.00,475.00,460.00,462.10,-1.03,"43,661.00","20,383,811.80"
21,2024-02-08,477.30,477.30,466.00,466.90,-0.24,"45,387.00","21,258,810.00"
22,2024-02-07,448.60,470.00,448.60,468.00,4.32,"70,947.00","32,971,306.80"
23,2024-02-06,447.00,452.60,447.00,448.60,-0.11,"32,614.00","14,695,695.70"
24,2024-02-05,450.00,456.00,448.00,449.10,-1.19,"27,117.00","12,204,295.90"
25,2024-02-04,449.00,455.00,446.10,454.50,1.09,"36,067.00","16,254,908.80"
26,2024-02-01,448.00,456.90,448.00,449.60,-0.71,"48,423.00","21,799,318.30"
27,2024-01-31,465.00,465.00,451.00,452.80,-0.70,"56,929.00","26,001,651.30"
28,2024-01-30,455.00,462.00,454.00,456.00,0.55,"68,660.00","31,409,286.00"
29,2024-01-29,455.00,462.00,453.50,453.50,-0.98,"58,692.00","26,835,806.90"
30,2024-01-28,455.00,464.00,453.10,458.00,1.10,"36,947.00","16,838,185.20"
31,2024-01-25,456.00,461.00,451.20,453.00,-0.88,"36,291.00","16,527,697.70"
32,2024-01-24,464.50,471.00,456.10,457.00,-1.19,"33,324.00","15,395,518.90"
33,2024-01-23,467.00,473.00,458.00,462.50,-0.96,"46,451.00","21,585,398.80"
