SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-02-22,390.00,391.00,383.00,383.20,-1.21,"36,663.00","14,149,172.90"
2,2024-02-21,389.00,395.00,386.50,387.90,-0.51,"38,788.00","15,080,094.20"
3,2024-02-20,391.00,396.00,388.60,389.90,0.33,"37,170.00","14,520,840.70"
4,2024-02-18,395.00,398.00,388.30,388.60,-1.89,"55,868.00","21,903,825.30"
5,2024-02-15,404.00,404.00,395.00,396.10,-0.20,"42,065.00","16,729,883.70"
6,2024-02-14,395.00,402.90,395.00,396.90,-0.40,"57,039.00","22,793,103.80"
7,2024-02-13,406.00,406.00,396.00,398.50,-2.06,"85,990.00","34,437,034.00"
8,2024-02-12,404.00,410.00,401.80,406.90,0.69,"49,254.00","19,951,964.90"
9,2024-02-11,410.00,413.90,404.10,404.10,-1.05,"55,674.00","22,700,144.70"
10,2024-02-08,410.00,412.00,407.40,408.40,-0.51,"31,979.00","13,075,896.30"
11,2024-02-07,415.00,415.00,407.70,410.50,0.42,"58,562.00","24,027,277.00"
12,2024-02-06,402.10,408.80,402.10,408.80,1.69,"31,957.00","12,971,798.80"
13,2024-02-05,402.00,408.00,400.50,402.00,0.00,"37,140.00","15,011,555.60"
14,2024-02-04,405.00,410.00,400.00,402.00,-0.74,"61,367.00","24,768,410.10"
15,2024-02-01,405.30,414.80,404.00,405.00,-1.58,"63,669.00","25,908,083.10"
16,2024-01-31,420.00,424.80,408.00,411.50,-2.02,"65,020.00","26,942,364.40"
17,2024-01-30,412.10,423.30,412.10,420.00,1.94,"99,454.00","41,707,415.10"
18,2024-01-29,409.00,420.70,409.00,412.00,0.73,"70,701.00","29,273,933.10"
19,2024-01-28,415.40,416.00,408.00,409.00,-0.27,"49,498.00","20,290,625.60"
20,2024-01-25,415.00,415.00,405.00,410.10,-0.22,"62,096.00","25,415,175.80"
21,2024-01-24,412.00,417.00,410.00,411.00,0.00,"53,647.00","22,180,922.60"
22,2024-01-23,411.10,420.00,407.10,411.00,-0.44,"64,784.00","26,685,678.60"
23,2024-01-22,412.00,422.00,411.30,412.80,-0.53,"81,845.00","34,001,712.80"
24,2024-01-21,429.00,429.00,414.80,415.00,-1.43,"85,496.00","35,866,734.60"
25,2024-01-18,416.30,428.40,416.20,421.00,-0.57,"88,866.00","37,484,660.80"
26,2024-01-17,441.00,441.00,423.40,423.40,-2.22,"95,186.00","41,090,123.00"
27,2024-01-16,423.00,434.00,423.00,433.00,2.36,"93,831.00","40,269,576.40"
28,2024-01-14,430.30,431.00,422.00,423.00,0.26,"62,497.00","26,525,787.20"
29,2024-01-11,425.00,440.00,419.00,421.90,-0.78,"61,698.00","26,118,913.40"
30,2024-01-10,438.60,455.00,425.00,425.20,-1.12,"79,341.00","34,267,916.60"
31,2024-01-09,436.10,444.00,429.50,430.00,0.56,"115,266.00","50,202,437.90"
32,2024-01-08,416.10,438.00,415.00,427.60,4.80,"119,407.00","50,435,339.10"
33,2024-01-07,412.00,417.00,404.00,408.00,-2.95,"140,288.00","57,638,841.30"
34,2024-01-04,435.00,440.00,420.00,420.40,-2.69,"112,391.00","47,954,500.30"
35,2024-01-03,424.00,435.00,423.00,432.00,1.89,"63,848.00","27,420,699.40"
36,2024-01-02,438.00,441.00,422.10,424.00,-3.20,"94,260.00","40,477,385.30"
37,2024-01-01,444.00,451.50,438.00,438.00,-1.13,"89,932.00","39,967,246.40"
38,2023-12-28,450.00,453.00,440.10,443.00,-0.89,"121,615.00","54,128,796.60"
39,2023-12-27,460.00,468.90,445.00,447.00,-1.11,"93,012.00","41,894,549.00"
40,2023-12-24,462.00,470.00,446.00,452.00,-2.16,"199,783.00","91,724,618.00"
