SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-03-10,530.00,535.50,524.10,534.00,2.10,"29,787.00","15,849,919.20"
2,2024-03-07,520.00,530.00,520.00,523.00,0.58,"20,446.00","10,713,606.30"
3,2024-03-06,511.30,526.80,511.30,520.00,0.00,"29,200.00","15,163,760.30"
4,2024-03-05,545.00,545.00,519.00,520.00,-3.53,"49,088.00","25,948,080.60"
5,2024-03-04,515.00,545.00,515.00,539.00,6.63,"2,760.00","1,480,221.00"
6,2024-03-03,512.00,513.10,505.00,505.50,-1.37,"30,789.00","15,605,932.80"
7,2024-02-29,524.00,528.00,510.30,512.50,-2.19,"38,502.00","19,865,090.10"
8,2024-02-28,520.20,527.80,520.20,524.00,-0.38,"19,395.00","10,150,017.00"
9,2024-02-27,522.20,530.00,522.10,526.00,0.00,"14,805.00","7,787,387.70"
10,2024-02-26,520.10,530.00,520.10,526.00,1.15,"29,546.00","15,527,064.90"
11,2024-02-25,514.90,546.00,514.90,520.00,0.99,"51,268.00","26,796,750.00"
12,2024-02-22,514.00,525.00,513.00,514.90,-1.15,"42,540.00","21,987,501.00"
13,2024-02-21,525.00,534.00,520.00,520.90,-0.80,"26,334.00","13,790,093.80"
14,2024-02-20,528.00,535.20,525.00,525.10,-1.07,"31,172.00","16,489,651.10"
15,2024-02-18,535.00,539.00,530.10,530.80,-2.07,"38,787.00","20,708,624.00"
16,2024-02-15,555.00,555.00,538.10,542.00,-0.73,"29,276.00","15,820,321.10"
17,2024-02-14,537.00,550.00,537.00,546.00,0.92,"25,921.00","14,109,491.00"
18,2024-02-13,550.00,555.00,540.00,541.00,-1.99,"42,613.00","23,227,871.20"
19,2024-02-12,543.90,561.00,543.90,552.00,-0.52,"29,169.00","16,124,269.90"
20,2024-02-11,562.00,565.00,550.00,554.90,-1.26,"40,187.00","22,426,399.30"
21,2024-02-08,563.00,568.90,556.20,562.00,-0.18,"52,528.00","29,424,724.80"
22,2024-02-07,542.00,565.00,542.00,563.00,3.87,"94,666.00","52,606,654.00"
23,2024-02-06,535.00,543.50,533.10,542.00,0.74,"30,112.00","16,219,014.50"
24,2024-02-05,535.00,540.00,533.00,538.00,0.47,"22,066.00","11,850,220.20"
25,2024-02-04,535.00,545.00,532.00,535.50,0.04,"28,869.00","15,458,307.30"
26,2024-02-01,542.10,545.30,535.30,535.30,-2.14,"48,152.00","26,000,325.10"
27,2024-01-31,554.00,559.90,543.00,547.00,-1.26,"52,423.00","28,751,698.00"
28,2024-01-30,555.00,559.90,549.00,554.00,0.36,"52,697.00","29,268,704.50"
29,2024-01-29,550.90,561.00,547.20,552.00,2.20,"54,072.00","29,791,622.40"
30,2024-01-28,545.70,555.00,535.40,540.10,0.95,"70,522.00","38,193,971.30"
31,2024-01-25,540.10,547.00,535.00,535.00,-1.29,"45,778.00","24,702,915.60"
32,2024-01-24,546.00,555.00,541.30,542.00,-0.55,"31,488.00","17,223,783.10"
33,2024-01-23,554.00,559.00,544.00,545.00,-1.45,"44,133.00","24,259,808.00"
34,2024-01-22,543.10,568.00,541.00,553.00,1.82,"84,199.00","46,631,967.10"
35,2024-01-21,550.00,561.00,542.60,543.10,-1.27,"68,293.00","37,593,448.80"
36,2024-01-18,554.10,566.00,548.00,550.10,-1.61,"90,651.00","50,221,551.90"
37,2024-01-17,563.00,575.00,559.00,559.10,-1.04,"120,777.00","68,613,842.30"
38,2024-01-16,566.00,569.00,555.10,565.00,1.80,"96,751.00","54,488,018.70"
39,2024-01-14,565.00,568.00,554.00,555.00,-0.36,"58,040.00","32,361,752.90"
40,2024-01-11,570.00,570.00,555.00,557.00,-0.54,"69,570.00","39,008,023.20"
41,2024-01-10,574.20,586.00,557.20,560.00,-0.53,"86,517.00","49,118,654.80"
42,2024-01-09,565.00,573.20,557.50,563.00,1.06,"100,388.00","56,680,659.40"
43,2024-01-08,540.00,558.30,537.10,557.10,4.72,"89,074.00","48,577,079.00"
44,2024-01-07,547.00,547.10,532.00,532.00,-3.97,"130,445.00","70,089,189.10"
45,2024-01-04,579.00,579.00,552.30,554.00,-2.46,"164,307.00","92,101,697.60"
46,2024-01-03,560.00,570.00,542.00,568.00,0.35,"282,817.00","157,017,871.10"
47,2024-01-02,581.00,587.00,565.00,566.00,-3.77,"153,668.00","87,959,255.50"
48,2024-01-01,607.00,613.90,585.00,588.20,-3.10,"150,265.00","89,719,168.60"
49,2023-12-28,604.00,620.00,604.00,607.00,0.50,"153,229.00","93,807,451.10"
50,2023-12-27,590.00,615.00,590.00,604.00,2.37,"196,527.00","118,732,597.40"
51,2023-12-24,566.00,620.00,564.00,590.00,4.13,"319,125.00","190,372,800.20"
52,2023-12-21,585.00,587.00,566.10,566.60,-3.41,"107,474.00","61,797,385.60"
53,2023-12-20,589.00,599.10,579.70,586.60,-0.24,"121,663.00","71,348,863.50"
54,2023-12-19,570.00,596.00,560.50,588.00,4.07,"143,050.00","82,139,691.00"
55,2023-12-18,565.10,577.00,558.00,565.00,-0.02,"98,920.00","56,297,686.40"
56,2023-12-17,544.90,567.00,535.00,565.10,1.64,"155,096.00","86,321,618.50"
57,2023-12-14,550.90,563.00,541.00,556.00,2.94,"140,009.00","77,584,312.60"
58,2023-12-13,550.00,561.90,534.40,540.10,-1.80,"118,829.00","65,070,126.40"
59,2023-12-12,531.00,562.00,531.00,550.00,2.61,"148,771.00","82,285,102.20"
60,2023-12-11,556.00,556.00,525.00,536.00,-1.83,"183,632.00","98,898,157.90"
61,2023-12-10,527.50,549.00,527.50,546.00,5.57,"19,162.00","10,436,308.80"
62,2023-12-07,507.70,525.00,506.70,517.20,-0.15,"76,850.00","39,743,886.00"
63,2023-12-06,509.00,523.00,503.00,518.00,1.59,"103,901.00","53,770,226.30"
64,2023-12-05,517.10,520.00,503.00,509.90,0.57,"61,770.00","31,568,578.40"
65,2023-12-04,500.00,515.00,500.00,507.00,1.60,"45,529.00","23,177,932.00"
66,2023-12-03,497.00,500.00,491.00,499.00,0.38,"25,353.00","12,539,378.80"
67,2023-11-30,493.70,509.00,493.70,497.10,-1.31,"53,957.00","26,888,359.70"
68,2023-11-29,510.00,520.00,500.00,503.70,-2.76,"51,413.00","26,102,720.20"
69,2023-11-28,510.00,524.10,509.00,518.00,0.00,"58,658.00","30,291,956.50"
70,2023-11-27,515.00,532.00,508.20,518.00,-0.77,"66,185.00","34,181,779.30"
71,2023-11-26,490.00,525.00,482.10,522.00,7.19,"117,199.00","59,883,524.20"
72,2023-11-23,464.00,492.00,460.20,487.00,4.13,"55,355.00","26,704,522.10"
73,2023-11-22,455.00,468.00,450.30,467.70,1.96,"20,892.00","9,629,710.00"
74,2023-11-21,470.00,473.00,456.70,458.70,-1.14,"27,383.00","12,578,802.90"
75,2023-11-20,465.00,479.00,460.10,464.00,-0.24,"24,427.00","11,430,407.30"
76,2023-11-09,463.00,478.80,463.00,465.10,-0.94,"24,362.00","11,356,102.40"
77,2023-11-08,465.00,474.00,458.00,469.50,0.95,"33,311.00","15,585,102.90"
78,2023-11-07,451.00,468.20,451.00,465.10,1.82,"30,656.00","14,127,082.50"
79,2023-11-06,446.10,461.00,446.10,456.80,1.06,"24,440.00","11,160,394.00"
80,2023-11-05,446.00,453.00,444.00,452.00,0.00,"31,593.00","14,137,640.10"
81,2023-11-02,452.20,474.30,450.00,452.00,-1.74,"27,479.00","12,478,078.40"
82,2023-11-01,460.60,466.00,459.10,460.00,-0.45,"17,431.00","8,036,033.70"
83,2023-10-31,465.00,469.00,461.10,462.10,-1.26,"18,484.00","8,566,266.50"
84,2023-10-30,470.00,471.00,461.50,468.00,-0.47,"15,882.00","7,390,878.10"
85,2023-10-29,485.00,485.00,469.00,470.20,-3.09,"24,923.00","11,735,062.50"
86,2023-10-19,489.10,497.60,481.30,485.20,-0.88,"47,462.00","23,146,459.50"
87,2023-10-18,475.10,494.00,475.10,489.50,1.03,"49,828.00","24,277,088.30"
88,2023-10-17,467.10,484.50,463.30,484.50,3.73,"42,542.00","20,122,737.50"
89,2023-10-16,473.20,480.00,460.60,467.10,-2.87,"61,593.00","28,783,902.70"
90,2023-10-12,475.50,483.00,473.10,480.90,0.15,"50,497.00","24,125,533.00"
91,2023-10-11,475.00,483.00,472.50,480.20,0.67,"36,280.00","17,371,946.60"
92,2023-10-10,481.00,490.00,476.00,477.00,-0.83,"31,208.00","14,946,842.50"
93,2023-10-09,480.00,494.00,477.30,481.00,-1.03,"42,793.00","20,663,593.20"
94,2023-10-08,500.00,504.50,484.10,486.00,-3.44,"85,829.00","42,050,442.30"
95,2023-10-05,507.00,510.50,502.00,503.30,-1.31,"36,244.00","18,337,140.10"
96,2023-10-04,508.00,518.00,507.00,510.00,0.79,"44,037.00","22,493,579.10"
97,2023-10-03,513.00,514.00,505.00,506.00,-1.56,"35,796.00","18,209,584.10"
98,2023-10-02,515.00,522.00,511.00,514.00,-1.17,"50,083.00","25,761,547.50"
99,2023-10-01,530.00,531.00,516.30,520.10,-2.33,"68,794.00","35,920,377.00"
100,2023-09-27,534.00,545.00,530.60,532.50,-1.02,"46,183.00","24,613,696.90"
101,2023-09-26,535.00,540.80,533.10,538.00,1.45,"51,509.00","27,691,630.20"
102,2023-09-25,531.00,539.90,530.10,530.30,-0.23,"45,640.00","24,324,519.70"
103,2023-09-24,545.00,545.00,531.10,531.50,-2.15,"54,688.00","29,346,959.70"
