SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-02-22,615.00,620.00,600.00,605.00,-0.98,"51,774.00","31,379,209.20"
2,2024-02-21,612.00,620.10,609.10,611.00,-0.18,"26,693.00","16,313,263.60"
3,2024-02-20,615.00,622.90,609.40,612.10,-0.28,"28,272.00","17,332,178.50"
4,2024-02-18,614.00,618.00,612.00,613.80,-0.21,"24,055.00","14,778,359.50"
5,2024-02-15,615.00,624.00,613.00,615.10,-0.47,"17,127.00","10,568,901.10"
6,2024-02-14,624.00,624.00,615.00,618.00,-0.16,"21,939.00","13,536,586.30"
7,2024-02-13,625.00,627.00,618.00,619.00,-1.75,"31,953.00","19,827,408.80"
8,2024-02-12,620.20,632.80,620.00,630.00,0.48,"27,121.00","17,053,325.90"
9,2024-02-11,630.00,631.00,620.00,627.00,-0.08,"30,118.00","18,898,844.50"
10,2024-02-08,630.00,633.00,625.10,627.50,0.40,"22,032.00","13,835,036.10"
11,2024-02-07,630.40,655.80,625.00,625.00,1.12,"28,205.00","17,747,561.20"
12,2024-02-06,620.00,625.00,616.00,618.10,0.26,"23,771.00","14,735,974.30"
13,2024-02-05,621.80,621.90,614.00,616.50,0.57,"16,814.00","10,376,829.00"
14,2024-02-04,620.00,620.00,612.00,613.00,-0.94,"25,595.00","15,747,439.10"
15,2024-02-01,620.00,625.00,609.60,618.80,-0.99,"59,742.00","36,830,809.30"
16,2024-01-31,639.00,639.00,625.00,625.00,-0.90,"28,535.00","17,922,452.60"
17,2024-01-30,637.00,637.00,630.00,630.70,0.11,"35,833.00","22,687,663.80"
18,2024-01-29,634.00,634.80,628.00,630.00,0.48,"31,840.00","20,073,778.80"
19,2024-01-28,630.00,634.40,625.00,627.00,0.32,"35,053.00","22,010,495.10"
20,2024-01-25,634.00,637.00,625.00,625.00,-0.32,"37,353.00","23,506,833.40"
21,2024-01-24,625.00,637.00,625.00,627.00,0.32,"34,813.00","21,941,441.70"
22,2024-01-23,620.00,637.00,618.00,625.00,-0.76,"41,977.00","26,297,733.70"
23,2024-01-22,635.40,640.00,615.00,629.80,-2.85,"104,029.00","65,850,539.10"
24,2024-01-21,654.10,670.00,647.50,648.30,-0.89,"54,076.00","35,412,235.80"
25,2024-01-18,655.50,660.00,651.00,654.10,-0.97,"38,735.00","25,388,779.20"
26,2024-01-17,665.00,673.90,660.00,660.50,-0.23,"59,629.00","39,797,793.60"
27,2024-01-16,653.00,665.00,653.00,662.00,1.07,"66,221.00","43,866,227.50"
28,2024-01-14,664.00,664.00,650.90,655.00,0.61,"27,037.00","17,684,516.30"
29,2024-01-11,660.00,667.00,650.00,651.00,-1.36,"44,057.00","28,783,847.60"
30,2024-01-10,671.00,675.00,658.00,660.00,-1.49,"50,137.00","33,422,365.00"
31,2024-01-09,665.00,671.00,662.00,670.00,2.76,"46,929.00","31,320,185.10"
32,2024-01-08,645.00,655.00,640.00,652.00,2.68,"61,735.00","40,014,006.90"
33,2024-01-07,652.00,653.00,635.00,635.00,-2.76,"82,347.00","52,775,691.00"
34,2024-01-04,672.90,672.90,648.00,653.00,-1.03,"64,723.00","42,294,774.10"
35,2024-01-03,668.00,668.00,650.00,659.80,0.73,"30,206.00","19,817,368.10"
36,2024-01-02,667.00,670.00,653.00,655.00,-1.80,"32,939.00","21,716,312.20"
37,2024-01-01,674.60,685.00,665.00,667.00,-1.11,"37,725.00","25,395,676.30"
38,2023-12-28,695.60,695.60,671.00,674.50,-1.10,"43,099.00","29,180,257.30"
39,2023-12-27,704.00,704.00,679.00,682.00,-1.30,"44,402.00","30,433,797.70"
40,2023-12-24,707.00,707.50,690.00,691.00,-2.26,"58,378.00","40,783,661.70"
41,2023-12-21,732.90,732.90,703.00,707.00,-1.61,"70,475.00","50,158,896.70"
42,2023-12-20,695.00,724.00,695.00,718.60,4.30,"128,472.00","91,848,772.80"
43,2023-12-19,675.00,690.00,668.00,689.00,2.99,"114,598.00","77,894,174.70"
44,2023-12-18,674.00,674.20,661.00,669.00,0.68,"70,563.00","47,173,886.50"
45,2023-12-17,670.40,675.00,630.00,664.50,-2.85,"133,906.00","88,403,185.60"
46,2023-12-14,693.00,695.00,676.00,684.00,0.59,"38,703.00","26,482,221.70"
47,2023-12-13,696.60,696.60,676.20,680.00,-0.44,"45,278.00","31,024,023.00"
48,2023-12-12,689.50,694.90,676.00,683.00,1.04,"64,195.00","44,039,974.20"
49,2023-12-11,698.70,709.00,670.00,676.00,-1.31,"87,743.00","59,922,502.30"
50,2023-12-10,665.00,700.00,665.00,685.00,5.06,"3,936.00","2,697,473.00"
51,2023-12-07,648.00,662.10,647.00,652.00,0.62,"20,444.00","13,350,086.50"
52,2023-12-06,651.00,653.00,646.00,648.00,-0.46,"17,214.00","11,160,164.70"
53,2023-12-05,658.00,664.00,650.10,651.00,-0.31,"7,677.00","5,016,911.90"
54,2023-12-04,654.00,660.00,649.10,653.00,0.15,"12,727.00","8,316,452.90"
55,2023-12-03,665.60,665.60,646.10,652.00,-0.09,"12,553.00","8,168,242.30"
56,2023-11-30,660.00,669.00,651.10,652.60,-1.11,"17,278.00","11,367,906.50"
57,2023-11-29,679.00,679.00,658.00,659.90,-1.36,"17,017.00","11,312,274.10"
58,2023-11-28,670.00,678.90,663.00,669.00,-0.74,"12,490.00","8,361,292.50"
59,2023-11-27,667.00,688.00,667.00,674.00,-0.85,"23,199.00","15,635,625.10"
60,2023-11-26,644.00,680.00,644.00,679.80,3.56,"28,464.00","19,178,750.70"
61,2023-11-23,646.00,665.00,640.00,656.40,1.45,"16,372.00","10,708,992.00"
62,2023-11-22,646.00,650.00,633.30,647.00,0.31,"9,797.00","6,294,689.90"
63,2023-11-21,663.00,663.00,640.00,645.00,-0.77,"13,303.00","8,558,077.30"
64,2023-11-20,655.00,665.00,643.00,650.00,0.79,"17,011.00","11,121,513.90"
65,2023-11-09,660.00,664.00,644.10,644.90,-0.94,"13,824.00","9,000,018.00"
66,2023-11-08,645.00,657.00,638.10,651.00,1.40,"16,004.00","10,385,723.30"
67,2023-11-07,638.00,645.40,638.00,642.00,0.63,"7,542.00","4,846,193.50"
68,2023-11-06,635.00,645.00,633.00,638.00,1.27,"12,167.00","7,755,462.30"
