SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-02-22,575.00,575.00,550.30,555.00,-2.25,"14,146.00","7,894,999.70"
2,2024-02-21,574.00,574.00,563.00,567.80,0.51,"6,039.00","3,413,445.60"
3,2024-02-20,560.00,590.00,560.00,564.90,-0.70,"11,620.00","6,613,488.50"
4,2024-02-18,578.00,578.00,568.00,568.90,-1.57,"7,544.00","4,304,372.00"
5,2024-02-15,575.70,584.00,575.70,578.00,-0.07,"7,484.00","4,324,943.00"
6,2024-02-14,583.00,583.00,577.50,578.40,0.07,"3,695.00","2,141,271.30"
7,2024-02-13,596.00,596.00,575.00,578.00,-2.03,"11,155.00","6,466,978.00"
8,2024-02-12,585.00,590.00,580.00,590.00,0.85,"8,154.00","4,779,647.60"
9,2024-02-11,585.00,593.90,576.00,585.00,-0.34,"15,608.00","9,133,299.50"
10,2024-02-08,590.00,592.50,586.00,587.00,-0.20,"2,486.00","1,459,183.30"
11,2024-02-07,595.00,595.00,585.20,588.20,0.55,"11,231.00","6,629,054.60"
12,2024-02-06,582.70,585.00,576.60,585.00,2.40,"6,994.00","4,079,440.30"
13,2024-02-05,570.10,579.00,570.10,571.30,-0.82,"5,018.00","2,878,110.90"
14,2024-02-04,567.20,581.00,567.20,576.00,-0.35,"24,804.00","14,288,189.20"
15,2024-02-01,580.10,586.00,578.00,578.00,-1.20,"7,284.00","4,223,653.10"
16,2024-01-31,594.20,600.00,583.00,585.00,-1.02,"10,895.00","6,433,137.60"
17,2024-01-30,588.30,595.00,588.20,591.00,0.85,"14,333.00","8,489,901.80"
18,2024-01-29,595.40,595.40,585.00,586.00,0.34,"11,852.00","6,985,069.10"
19,2024-01-28,581.00,593.60,581.00,584.00,0.41,"6,111.00","3,584,326.10"
20,2024-01-25,576.60,590.00,573.40,581.60,0.28,"20,170.00","11,671,234.80"
21,2024-01-24,597.70,621.70,580.00,580.00,-1.02,"18,893.00","11,078,351.60"
22,2024-01-23,590.10,599.00,585.00,586.00,-2.17,"13,150.00","7,752,293.70"
23,2024-01-22,619.00,619.90,594.00,599.00,-1.48,"10,401.00","6,264,379.00"
24,2024-01-21,604.00,610.00,600.00,608.00,0.16,"14,392.00","8,702,091.40"
25,2024-01-18,606.00,615.80,602.10,607.00,-0.33,"18,852.00","11,460,599.20"
26,2024-01-17,626.00,632.00,607.00,609.00,-0.78,"46,425.00","28,669,683.60"
27,2024-01-16,610.00,615.00,602.00,613.80,1.81,"33,620.00","20,503,150.20"
28,2024-01-14,608.00,608.00,596.00,602.90,0.48,"15,098.00","9,073,188.50"
29,2024-01-11,601.50,603.00,593.00,600.00,-0.66,"15,624.00","9,347,890.80"
30,2024-01-10,615.00,618.00,604.00,604.00,0.17,"14,166.00","8,671,812.10"
31,2024-01-09,615.00,623.00,597.00,603.00,-0.31,"26,037.00","15,910,309.30"
32,2024-01-08,569.90,610.00,569.90,604.90,4.02,"56,209.00","33,701,734.50"
33,2024-01-07,593.40,594.00,580.00,581.50,-2.01,"16,720.00","9,777,283.10"
34,2024-01-04,600.00,601.00,588.00,593.40,-0.27,"62,958.00","37,319,305.20"
35,2024-01-03,591.10,602.00,591.00,595.00,0.17,"12,292.00","7,317,041.80"
36,2024-01-02,605.00,605.00,591.00,594.00,-2.30,"29,271.00","17,527,876.50"
37,2024-01-01,613.00,619.00,605.00,608.00,-0.65,"17,635.00","10,775,065.60"
38,2023-12-28,606.00,621.00,606.00,612.00,-0.81,"28,770.00","17,631,627.50"
39,2023-12-27,634.00,634.00,613.00,617.00,-0.80,"15,128.00","9,379,579.90"
40,2023-12-24,618.00,630.00,616.00,622.00,-1.11,"26,177.00","16,357,285.20"
41,2023-12-21,641.00,650.00,625.00,629.00,-3.23,"43,354.00","27,554,768.90"
42,2023-12-20,635.00,665.00,635.00,650.00,0.78,"43,996.00","28,846,981.80"
43,2023-12-19,625.00,650.00,613.10,645.00,3.46,"41,989.00","26,622,032.10"
44,2023-12-18,607.00,630.10,607.00,623.40,1.55,"46,122.00","28,752,664.10"
45,2023-12-17,606.70,619.00,602.00,613.90,-0.18,"21,162.00","12,957,825.10"
46,2023-12-14,619.00,619.90,611.00,615.00,-0.65,"9,619.00","5,904,899.00"
47,2023-12-13,624.10,627.30,610.00,619.00,-0.32,"32,525.00","20,093,547.30"
48,2023-12-12,605.00,627.00,603.00,621.00,4.55,"37,944.00","23,337,378.90"
49,2023-12-11,612.10,624.00,592.00,594.00,-1.02,"37,709.00","22,735,641.60"
50,2023-12-10,581.20,612.00,581.20,600.10,5.30,"2,685.00","1,612,774.00"
51,2023-12-07,559.90,580.00,552.00,569.90,1.77,"12,823.00","7,227,703.00"
52,2023-12-06,553.00,563.00,551.00,560.00,-0.36,"5,821.00","3,241,525.00"
53,2023-12-05,560.00,566.00,555.00,562.00,0.36,"4,837.00","2,701,994.60"
54,2023-12-04,552.00,568.00,552.00,560.00,2.00,"6,640.00","3,725,992.20"
55,2023-12-03,560.00,560.00,541.00,549.00,-0.20,"5,488.00","3,021,941.70"
56,2023-11-30,560.00,564.00,550.10,550.10,-2.07,"7,037.00","3,909,533.90"
57,2023-11-29,573.00,578.00,561.70,561.70,-1.97,"4,790.00","2,712,259.60"
58,2023-11-28,574.00,577.00,569.10,573.00,-0.05,"6,231.00","3,577,122.70"
59,2023-11-27,594.60,594.60,573.30,573.30,-1.66,"16,513.00","9,584,308.30"
60,2023-11-26,550.00,585.00,550.00,583.00,4.93,"18,047.00","10,394,380.70"
61,2023-11-23,537.00,564.00,536.10,555.60,2.13,"12,099.00","6,603,036.50"
62,2023-11-22,533.50,545.00,533.20,544.00,0.18,"18,945.00","10,221,362.00"
63,2023-11-21,548.00,548.00,536.00,543.00,-1.27,"4,693.00","2,536,235.70"
64,2023-11-20,542.00,555.00,542.00,550.00,1.85,"5,071.00","2,782,193.30"
65,2023-11-09,542.00,552.80,538.20,540.00,-0.18,"1,919.00","1,040,285.60"
66,2023-11-08,545.00,548.00,540.00,541.00,0.00,"2,015.00","1,094,873.50"
67,2023-11-07,547.00,547.00,540.00,541.00,-0.37,"2,793.00","1,516,272.60"
68,2023-11-06,542.00,548.00,542.00,543.00,0.17,"4,393.00","2,392,806.50"
69,2023-11-05,531.50,542.10,531.50,542.10,0.11,"5,648.00","3,047,312.30"
70,2023-11-02,535.50,542.00,535.00,541.50,1.59,"6,442.00","3,460,673.30"
71,2023-11-01,530.10,543.00,528.30,533.00,-0.19,"10,779.00","5,789,555.50"
72,2023-10-31,535.20,538.60,533.00,534.00,-1.11,"2,179.00","1,165,435.60"
73,2023-10-30,532.00,540.00,530.00,540.00,0.56,"9,459.00","5,059,670.20"
74,2023-10-29,548.00,548.00,536.00,537.00,-1.52,"2,821.00","1,516,901.30"
75,2023-10-19,545.00,556.00,545.00,545.30,-0.67,"3,671.00","2,020,573.20"
76,2023-10-18,540.00,550.80,535.00,549.00,3.39,"10,650.00","5,784,924.30"
77,2023-10-17,530.00,540.00,530.00,531.00,0.74,"7,368.00","3,922,013.40"
78,2023-10-16,540.00,540.00,527.00,527.10,-1.09,"7,072.00","3,743,387.80"
79,2023-10-12,535.00,543.00,529.70,532.90,-0.39,"16,088.00","8,594,449.20"
80,2023-10-11,544.60,544.60,525.10,535.00,0.19,"14,759.00","7,804,060.20"
81,2023-10-10,548.70,548.70,525.30,534.00,-0.74,"13,322.00","7,086,389.30"
82,2023-10-09,546.00,546.00,535.20,538.00,-1.48,"13,104.00","7,068,120.00"
83,2023-10-08,560.00,560.00,545.00,546.10,-2.48,"18,708.00","10,304,407.50"
84,2023-10-05,570.00,570.00,560.00,560.00,-1.43,"9,755.00","5,505,507.60"
85,2023-10-04,574.00,574.90,567.30,568.10,0.18,"7,055.00","4,020,258.40"
86,2023-10-03,567.00,570.90,567.00,567.10,-0.21,"7,574.00","4,313,871.70"
