SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-02-22,506.50,520.00,505.00,510.00,-0.78,"6,806.00","3,467,436.40"
2,2024-02-21,515.00,524.00,508.00,514.00,0.00,"8,831.00","4,544,948.00"
3,2024-02-20,510.00,515.00,510.00,514.00,0.00,"6,900.00","3,535,517.60"
4,2024-02-18,508.90,530.00,508.90,514.00,-0.77,"9,705.00","4,967,724.30"
5,2024-02-15,517.20,523.00,511.00,518.00,-0.96,"6,932.00","3,588,826.90"
6,2024-02-14,514.50,528.00,514.50,523.00,-0.38,"5,802.00","3,027,037.10"
7,2024-02-13,520.00,529.00,518.00,525.00,-0.59,"11,201.00","5,840,294.80"
8,2024-02-12,526.00,530.00,523.00,528.10,0.40,"8,757.00","4,612,472.40"
9,2024-02-11,525.00,534.00,518.00,526.00,0.00,"9,878.00","5,192,605.70"
10,2024-02-08,521.30,535.00,521.30,526.00,-0.74,"9,429.00","4,976,215.20"
11,2024-02-07,533.00,535.40,525.00,529.90,0.93,"11,985.00","6,336,830.50"
12,2024-02-06,530.00,534.40,515.00,525.00,0.19,"9,077.00","4,767,455.00"
13,2024-02-05,510.10,535.00,510.00,524.00,1.53,"8,817.00","4,594,534.30"
14,2024-02-04,525.00,525.00,516.10,516.10,-1.70,"10,730.00","5,570,828.20"
15,2024-02-01,528.10,535.00,525.00,525.00,-2.42,"14,113.00","7,463,508.00"
16,2024-01-31,550.00,554.00,531.00,538.00,-2.89,"11,111.00","6,029,756.00"
17,2024-01-30,541.00,561.80,541.00,554.00,1.84,"15,896.00","8,793,620.00"
18,2024-01-29,526.20,545.00,526.20,544.00,1.87,"10,469.00","5,614,887.00"
19,2024-01-28,530.00,539.50,526.00,534.00,0.75,"5,933.00","3,151,789.30"
20,2024-01-25,539.00,539.50,525.00,530.00,0.19,"12,910.00","6,821,789.20"
21,2024-01-24,530.10,561.00,529.00,529.00,-2.04,"13,505.00","7,258,711.40"
22,2024-01-23,542.00,558.40,535.00,540.00,-1.37,"11,015.00","5,961,191.60"
23,2024-01-22,547.00,568.70,547.00,547.50,-1.81,"11,332.00","6,275,144.90"
24,2024-01-21,560.00,571.00,557.60,557.60,-1.83,"22,047.00","12,464,603.80"
25,2024-01-18,558.00,580.30,558.00,568.00,-0.18,"22,940.00","13,000,376.10"
26,2024-01-17,579.50,580.00,561.20,569.00,-0.35,"20,555.00","11,720,546.70"
27,2024-01-16,575.00,575.20,565.00,571.00,1.24,"20,930.00","11,913,878.30"
28,2024-01-14,565.00,575.00,560.00,564.00,-0.70,"10,130.00","5,741,639.70"
29,2024-01-11,555.00,577.40,553.70,568.00,0.53,"17,710.00","9,999,809.70"
30,2024-01-10,558.00,600.00,558.00,565.00,-0.70,"8,167.00","4,649,795.30"
31,2024-01-09,580.00,596.00,565.00,569.00,-1.61,"16,183.00","9,319,918.20"
32,2024-01-08,557.00,588.80,556.00,578.30,3.82,"13,638.00","7,789,478.00"
33,2024-01-07,567.50,579.00,556.70,557.00,-3.80,"13,668.00","7,709,400.60"
34,2024-01-04,582.40,597.00,565.00,579.00,0.35,"18,865.00","10,824,921.40"
35,2024-01-03,587.00,587.00,557.30,577.00,0.19,"14,011.00","7,953,395.70"
36,2024-01-02,598.00,598.00,575.00,575.90,-3.70,"11,352.00","6,605,156.10"
37,2024-01-01,612.00,624.00,596.10,598.00,-4.12,"38,801.00","23,476,972.80"
38,2023-12-28,590.00,623.70,590.00,623.70,3.78,"47,088.00","28,614,414.50"
39,2023-12-27,590.00,617.00,588.30,601.00,1.86,"48,433.00","29,242,889.10"
40,2023-12-24,610.00,620.00,573.00,590.00,-1.96,"66,610.00","39,962,240.50"
41,2023-12-21,615.00,617.00,585.00,601.80,-1.97,"23,695.00","14,135,698.20"
42,2023-12-20,589.00,647.80,515.00,613.90,4.23,"58,536.00","35,432,619.50"
43,2023-12-19,598.00,598.00,542.00,589.00,0.00,"81,779.00","46,328,067.80"
1,2024-02-29,497.20,497.20,489.00,493.00,-0.40,"6,715.00","3,305,553.60"
2,2024-02-28,501.00,503.00,493.20,495.00,0.61,"4,967.00","2,458,835.10"
3,2024-02-27,490.20,510.00,490.20,492.00,-1.60,"5,407.00","2,681,505.70"
4,2024-02-26,511.50,511.50,493.00,500.00,-0.30,"5,715.00","2,863,761.70"
5,2024-02-25,508.00,519.80,499.00,501.50,-1.67,"12,596.00","6,331,039.10"
6,2024-02-22,506.50,520.00,505.00,510.00,-0.78,"6,806.00","3,467,436.40"
7,2024-02-21,515.00,524.00,508.00,514.00,0.00,"8,831.00","4,544,948.00"
8,2024-02-20,510.00,515.00,510.00,514.00,0.00,"6,900.00","3,535,517.60"
9,2024-02-18,508.90,530.00,508.90,514.00,-0.77,"9,705.00","4,967,724.30"
10,2024-02-15,517.20,523.00,511.00,518.00,-0.96,"6,932.00","3,588,826.90"
11,2024-02-14,514.50,528.00,514.50,523.00,-0.38,"5,802.00","3,027,037.10"
12,2024-02-13,520.00,529.00,518.00,525.00,-0.59,"11,201.00","5,840,294.80"
13,2024-02-12,526.00,530.00,523.00,528.10,0.40,"8,757.00","4,612,472.40"
14,2024-02-11,525.00,534.00,518.00,526.00,0.00,"9,878.00","5,192,605.70"
15,2024-02-08,521.30,535.00,521.30,526.00,-0.74,"9,429.00","4,976,215.20"
16,2024-02-07,533.00,535.40,525.00,529.90,0.93,"11,985.00","6,336,830.50"
17,2024-02-06,530.00,534.40,515.00,525.00,0.19,"9,077.00","4,767,455.00"
18,2024-02-05,510.10,535.00,510.00,524.00,1.53,"8,817.00","4,594,534.30"
19,2024-02-04,525.00,525.00,516.10,516.10,-1.70,"10,730.00","5,570,828.20"
20,2024-02-01,528.10,535.00,525.00,525.00,-2.42,"14,113.00","7,463,508.00"
21,2024-01-31,550.00,554.00,531.00,538.00,-2.89,"11,111.00","6,029,756.00"
22,2024-01-30,541.00,561.80,541.00,554.00,1.84,"15,896.00","8,793,620.00"
23,2024-01-29,526.20,545.00,526.20,544.00,1.87,"10,469.00","5,614,887.00"
24,2024-01-28,530.00,539.50,526.00,534.00,0.75,"5,933.00","3,151,789.30"
25,2024-01-25,539.00,539.50,525.00,530.00,0.19,"12,910.00","6,821,789.20"
26,2024-01-24,530.10,561.00,529.00,529.00,-2.04,"13,505.00","7,258,711.40"
27,2024-01-23,542.00,558.40,535.00,540.00,-1.37,"11,015.00","5,961,191.60"
28,2024-01-22,547.00,568.70,547.00,547.50,-1.81,"11,332.00","6,275,144.90"
29,2024-01-21,560.00,571.00,557.60,557.60,-1.83,"22,047.00","12,464,603.80"
30,2024-01-18,558.00,580.30,558.00,568.00,-0.18,"22,940.00","13,000,376.10"
31,2024-01-17,579.50,580.00,561.20,569.00,-0.35,"20,555.00","11,720,546.70"
32,2024-01-16,575.00,575.20,565.00,571.00,1.24,"20,930.00","11,913,878.30"
33,2024-01-14,565.00,575.00,560.00,564.00,-0.70,"10,130.00","5,741,639.70"
34,2024-01-11,555.00,577.40,553.70,568.00,0.53,"17,710.00","9,999,809.70"
35,2024-01-10,558.00,600.00,558.00,565.00,-0.70,"8,167.00","4,649,795.30"
36,2024-01-09,580.00,596.00,565.00,569.00,-1.61,"16,183.00","9,319,918.20"
37,2024-01-08,557.00,588.80,556.00,578.30,3.82,"13,638.00","7,789,478.00"
38,2024-01-07,567.50,579.00,556.70,557.00,-3.80,"13,668.00","7,709,400.60"
39,2024-01-04,582.40,597.00,565.00,579.00,0.35,"18,865.00","10,824,921.40"
40,2024-01-03,587.00,587.00,557.30,577.00,0.19,"14,011.00","7,953,395.70"
41,2024-01-02,598.00,598.00,575.00,575.90,-3.70,"11,352.00","6,605,156.10"
42,2024-01-01,612.00,624.00,596.10,598.00,-4.12,"38,801.00","23,476,972.80"
43,2023-12-28,590.00,623.70,590.00,623.70,3.78,"47,088.00","28,614,414.50"
44,2023-12-27,590.00,617.00,588.30,601.00,1.86,"48,433.00","29,242,889.10"
45,2023-12-24,610.00,620.00,573.00,590.00,-1.96,"66,610.00","39,962,240.50"
46,2023-12-21,615.00,617.00,585.00,601.80,-1.97,"23,695.00","14,135,698.20"
47,2023-12-20,589.00,647.80,515.00,613.90,4.23,"58,536.00","35,432,619.50"
48,2023-12-19,598.00,598.00,542.00,589.00,0.00,"81,779.00","46,328,067.80"
