SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-03-10,438.00,448.10,438.00,444.50,1.69,"31,290.00","13,928,578.80"
2,2024-03-07,431.00,442.00,431.00,437.10,1.42,"24,279.00","10,630,681.10"
3,2024-03-06,428.20,438.60,424.00,431.00,-0.23,"30,085.00","12,970,868.10"
4,2024-03-05,460.00,460.00,432.00,432.00,-5.16,"60,069.00","26,396,939.40"
5,2024-03-04,422.00,455.50,422.00,455.50,10.00,"1,815.00","810,403.00"
6,2024-03-03,413.00,420.00,410.00,414.10,-1.17,"27,869.00","11,534,230.50"
7,2024-02-29,422.10,429.00,417.00,419.00,-1.87,"26,819.00","11,293,428.80"
8,2024-02-28,425.00,433.00,425.00,427.00,-0.23,"22,610.00","9,697,793.40"
9,2024-02-27,423.00,433.50,423.00,428.00,-0.47,"26,847.00","11,469,238.90"
10,2024-02-26,420.00,432.40,419.60,430.00,1.37,"30,389.00","12,910,060.50"
11,2024-02-25,435.00,440.00,424.10,424.20,-1.03,"36,823.00","15,853,677.50"
12,2024-02-22,430.00,440.00,428.10,428.60,-1.08,"37,209.00","16,148,814.00"
13,2024-02-21,437.00,445.00,431.20,433.30,-1.97,"45,804.00","19,973,605.60"
14,2024-02-20,437.10,448.00,437.00,442.00,0.23,"32,611.00","14,387,911.00"
15,2024-02-18,446.10,452.00,440.00,441.00,-1.56,"38,354.00","16,999,294.50"
16,2024-02-15,450.20,455.00,446.80,448.00,-1.37,"30,523.00","13,764,170.40"
17,2024-02-14,448.40,462.00,448.40,454.20,-0.18,"31,667.00","14,443,300.50"
18,2024-02-13,461.00,465.00,450.00,455.00,-2.15,"40,983.00","18,725,038.20"
19,2024-02-12,458.00,470.00,458.00,465.00,0.09,"28,273.00","13,132,935.60"
20,2024-02-11,470.00,480.00,462.10,464.60,-1.25,"40,826.00","19,147,380.30"
21,2024-02-08,475.10,480.00,470.00,470.50,-0.32,"73,145.00","34,731,363.50"
22,2024-02-07,445.00,472.00,445.00,472.00,4.66,"141,965.00","66,247,371.70"
23,2024-02-06,452.00,455.80,448.20,451.00,0.78,"28,363.00","12,792,911.20"
24,2024-02-05,451.00,456.00,446.50,447.50,-0.95,"40,906.00","18,367,875.50"
25,2024-02-04,450.50,457.00,446.20,451.80,-1.14,"38,471.00","17,382,815.00"
26,2024-02-01,460.10,469.00,455.00,457.00,-2.56,"43,310.00","19,945,878.00"
27,2024-01-31,479.00,482.00,465.00,469.00,-2.23,"72,717.00","34,417,434.80"
28,2024-01-30,480.00,496.20,476.30,479.70,-1.90,"96,510.00","46,384,374.70"
29,2024-01-29,507.70,515.00,488.10,489.00,-1.78,"76,971.00","38,147,770.60"
30,2024-01-28,570.00,581.00,570.00,577.50,1.32,"300,619.00","173,464,498.70"
31,2024-01-25,572.00,575.00,568.00,570.00,-0.35,"123,970.00","70,678,728.90"
32,2024-01-24,580.00,581.00,569.00,572.00,0.18,"93,152.00","53,299,314.90"
33,2024-01-23,564.00,582.00,564.00,571.00,-0.70,"83,789.00","48,058,775.80"
34,2024-01-22,572.90,585.10,566.00,575.00,0.37,"187,913.00","108,538,595.00"
35,2024-01-21,586.90,588.00,570.00,572.90,-0.43,"160,835.00","93,061,798.10"
36,2024-01-18,578.10,582.10,568.00,575.40,-0.45,"115,513.00","66,398,072.70"
37,2024-01-17,590.00,612.00,577.40,578.00,-2.03,"198,057.00","116,448,228.80"
38,2024-01-16,566.00,598.00,566.00,590.00,4.24,"228,431.00","133,182,417.00"
39,2024-01-14,575.00,576.00,565.00,566.00,-0.88,"131,023.00","74,568,566.70"
40,2024-01-11,585.00,585.00,570.00,571.00,-1.36,"167,643.00","96,313,741.70"
41,2024-01-10,569.10,603.40,569.10,578.90,3.75,"496,040.00","288,715,287.90"
42,2024-01-09,558.00,570.10,555.00,558.00,0.36,"215,326.00","121,412,806.00"
43,2024-01-08,545.00,560.00,537.00,556.00,3.93,"169,677.00","93,099,943.40"
44,2024-01-07,534.20,544.90,531.10,535.00,-1.85,"125,364.00","67,228,083.90"
45,2024-01-04,550.00,566.00,545.00,545.10,-0.89,"208,839.00","114,843,404.60"
46,2024-01-03,540.00,552.00,525.00,550.00,0.90,"156,218.00","84,208,353.50"
47,2024-01-02,560.00,565.00,543.00,545.10,-3.88,"178,303.00","98,716,496.70"
48,2024-01-01,582.00,587.00,566.50,567.10,-2.56,"172,131.00","99,165,974.80"
49,2023-12-28,575.20,590.00,575.20,582.00,-0.51,"222,384.00","129,809,679.50"
50,2023-12-27,595.00,603.00,584.30,585.00,-1.68,"213,685.00","126,463,053.00"
51,2023-12-24,590.00,603.00,575.10,595.00,1.71,"285,552.00","169,388,956.00"
52,2023-12-21,590.00,598.00,580.30,585.00,-1.18,"229,637.00","134,365,424.30"
53,2023-12-20,580.00,605.00,580.00,592.00,0.34,"282,935.00","167,367,961.80"
54,2023-12-19,545.00,600.00,545.00,590.00,6.31,"214,105.00","122,188,899.80"
55,2023-12-18,545.00,566.90,545.00,555.00,0.54,"222,876.00","124,801,851.10"
56,2023-12-17,536.10,557.90,527.10,552.00,0.91,"297,715.00","161,539,726.30"
57,2023-12-14,553.80,553.80,530.00,547.00,0.74,"213,185.00","114,988,791.70"
58,2023-12-13,550.00,553.00,536.00,543.00,0.18,"202,768.00","110,503,832.10"
59,2023-12-12,519.50,547.00,517.00,542.00,4.31,"267,573.00","143,578,143.70"
60,2023-12-11,520.00,520.00,494.00,519.60,1.09,"325,267.00","165,766,860.70"
61,2023-12-10,490.00,515.00,490.00,514.00,5.70,"39,065.00","19,842,653.60"
62,2023-12-07,480.10,491.00,475.20,486.30,-0.37,"163,473.00","79,121,523.90"
63,2023-12-06,474.50,491.00,472.00,488.10,2.87,"151,676.00","73,449,017.50"
64,2023-12-05,475.00,482.00,470.00,474.50,1.61,"108,588.00","51,635,317.70"
65,2023-12-04,452.10,472.00,452.10,467.00,2.19,"92,194.00","42,979,916.50"
66,2023-12-03,452.20,462.00,452.20,457.00,-0.65,"58,396.00","26,629,402.70"
67,2023-11-30,447.90,473.00,447.90,460.00,0.66,"71,157.00","32,639,394.90"
68,2023-11-29,466.00,476.00,456.00,457.00,-2.75,"68,544.00","31,995,488.30"
69,2023-11-28,465.00,475.30,461.10,469.90,0.82,"96,760.00","45,440,819.00"
70,2023-11-27,465.00,479.00,455.10,466.10,-0.83,"162,875.00","76,065,789.00"
71,2023-11-26,436.00,470.10,436.00,470.00,6.82,"165,042.00","75,694,512.30"
72,2023-11-23,412.10,453.90,412.10,440.00,4.76,"119,970.00","52,127,714.30"
73,2023-11-22,405.10,426.30,405.10,420.00,1.97,"55,426.00","23,157,685.60"
74,2023-11-21,415.00,420.00,411.00,411.90,-1.93,"43,777.00","18,197,144.30"
75,2023-11-20,410.00,428.00,410.00,420.00,1.20,"54,125.00","22,847,977.10"
76,2023-11-09,409.00,425.30,409.00,415.00,-0.48,"37,056.00","15,481,664.30"
77,2023-11-08,420.00,426.00,407.00,417.00,0.72,"56,829.00","23,840,277.50"
78,2023-11-07,397.00,418.00,396.00,414.00,4.12,"64,744.00","26,513,995.70"
79,2023-11-06,390.00,400.00,390.00,397.60,1.17,"23,181.00","9,181,625.00"
80,2023-11-05,392.00,401.00,390.00,393.00,-1.75,"25,038.00","9,805,480.80"
81,2023-11-02,395.10,408.00,395.10,400.00,0.00,"32,962.00","13,161,711.40"
82,2023-11-01,400.00,407.00,398.20,400.00,-0.60,"32,091.00","12,884,200.00"
83,2023-10-31,406.00,406.00,400.20,402.40,-0.89,"25,757.00","10,373,242.00"
84,2023-10-30,405.00,406.00,400.00,406.00,0.12,"28,848.00","11,615,704.60"
85,2023-10-29,409.00,410.00,403.20,405.50,-2.48,"34,681.00","14,032,765.20"
86,2023-10-19,411.00,421.00,411.00,415.80,-0.29,"28,922.00","12,054,440.30"
87,2023-10-18,411.00,421.00,404.20,417.00,1.34,"41,100.00","17,113,924.00"
88,2023-10-17,400.00,422.90,400.00,411.50,0.83,"52,689.00","21,688,520.00"
89,2023-10-16,416.20,420.50,402.00,408.10,-3.89,"87,805.00","35,829,584.90"
90,2023-10-12,430.10,435.00,424.00,424.60,-2.05,"64,409.00","27,613,460.80"
91,2023-10-11,430.00,445.00,429.30,433.50,-0.02,"64,213.00","27,888,363.00"
92,2023-10-10,436.00,441.80,433.30,433.60,-1.86,"57,185.00","25,000,799.50"
93,2023-10-09,440.00,449.00,437.40,441.80,-0.72,"76,160.00","33,632,504.50"
94,2023-10-08,450.00,457.00,442.10,445.00,-2.88,"124,649.00","55,760,572.50"
95,2023-10-05,458.10,465.00,458.10,458.20,-1.04,"64,915.00","29,885,210.00"
96,2023-10-04,457.00,469.90,455.00,463.00,0.59,"92,751.00","43,091,944.10"
97,2023-10-03,460.00,467.00,460.00,460.30,-1.22,"80,679.00","37,262,140.20"
98,2023-10-02,456.00,466.60,456.00,466.00,0.76,"102,400.00","47,253,637.00"
