SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-03-10,475.40,494.90,470.00,486.20,4.31,"56,787.00","27,471,565.30"
2,2024-03-07,466.00,469.90,459.50,466.10,2.01,"26,840.00","12,489,602.80"
3,2024-03-06,456.00,470.00,451.30,456.90,0.15,"46,127.00","21,228,702.00"
4,2024-03-05,490.60,490.60,450.40,456.20,-5.16,"59,221.00","27,330,873.00"
5,2024-03-04,447.70,481.00,447.70,481.00,9.57,"3,900.00","1,816,672.00"
6,2024-03-03,458.00,458.00,437.40,439.00,-3.94,"55,724.00","24,803,354.40"
7,2024-02-29,466.00,467.00,457.00,457.00,-1.72,"19,835.00","9,174,655.20"
8,2024-02-28,465.60,473.00,465.00,465.00,-1.06,"27,870.00","13,049,823.20"
9,2024-02-27,469.50,480.00,466.10,470.00,-1.88,"26,661.00","12,556,322.60"
10,2024-02-26,480.00,485.00,472.00,479.00,-0.85,"35,987.00","17,165,680.60"
11,2024-02-25,484.00,492.50,483.10,483.10,-1.65,"32,262.00","15,702,951.50"
12,2024-02-22,510.90,510.90,491.20,491.20,-1.96,"19,675.00","9,767,478.10"
13,2024-02-21,507.00,507.00,499.00,501.00,-0.79,"25,569.00","12,827,495.70"
14,2024-02-20,510.00,510.00,500.00,505.00,0.42,"25,791.00","12,966,596.60"
15,2024-02-18,518.50,518.50,502.00,502.90,-1.10,"23,102.00","11,654,034.10"
16,2024-02-15,504.30,517.90,504.30,508.50,-0.29,"17,391.00","8,862,771.30"
17,2024-02-14,505.00,517.90,500.20,510.00,0.35,"30,699.00","15,674,431.30"
18,2024-02-13,519.40,528.90,506.10,508.20,-4.11,"55,723.00","28,560,576.60"
19,2024-02-12,525.00,530.90,519.90,530.00,0.19,"42,014.00","22,008,439.10"
20,2024-02-11,524.00,534.70,521.00,529.00,1.15,"61,553.00","32,445,415.70"
21,2024-02-08,518.00,529.90,515.30,523.00,0.33,"21,432.00","11,189,558.40"
22,2024-02-07,524.90,524.90,517.00,521.30,0.83,"14,897.00","7,776,452.90"
23,2024-02-06,515.00,522.20,514.00,517.00,0.80,"15,945.00","8,261,948.80"
24,2024-02-05,511.00,520.90,510.00,512.90,2.31,"29,335.00","15,032,644.50"
25,2024-02-04,504.00,512.00,500.00,501.30,-1.73,"36,504.00","18,400,302.70"
26,2024-02-01,510.00,520.00,510.00,510.10,-0.76,"21,625.00","11,071,995.90"
27,2024-01-31,534.00,535.00,511.00,514.00,-2.10,"31,156.00","16,331,723.60"
28,2024-01-30,524.50,532.00,521.00,525.00,0.96,"40,069.00","21,058,728.70"
29,2024-01-29,525.00,526.00,518.00,520.00,0.19,"33,728.00","17,554,360.00"
30,2024-01-28,520.00,522.00,510.00,519.00,1.37,"24,914.00","12,856,154.80"
31,2024-01-25,526.00,526.00,508.00,512.00,-1.54,"37,182.00","19,103,387.80"
32,2024-01-24,527.00,528.80,518.00,520.00,-0.19,"22,179.00","11,557,789.70"
33,2024-01-23,532.80,532.80,519.00,521.00,-0.38,"28,387.00","14,813,442.50"
34,2024-01-22,533.40,537.00,519.00,523.00,0.00,"43,481.00","22,811,799.50"
35,2024-01-21,539.40,539.40,522.30,523.00,-1.13,"43,937.00","23,206,889.50"
36,2024-01-18,525.10,536.00,525.10,529.00,-1.16,"64,462.00","34,152,050.50"
37,2024-01-17,552.00,558.00,535.10,535.20,-2.51,"46,671.00","25,561,087.00"
38,2024-01-16,542.60,550.80,542.00,549.00,1.67,"31,479.00","17,235,607.40"
39,2024-01-14,547.70,547.70,533.00,540.00,0.56,"43,604.00","23,465,003.00"
40,2024-01-11,548.00,552.00,534.20,537.00,-1.83,"26,085.00","14,060,233.10"
41,2024-01-10,563.00,564.00,542.00,547.00,-1.08,"47,559.00","26,310,268.00"
42,2024-01-09,555.50,565.90,551.20,553.00,1.41,"71,636.00","40,039,371.60"
43,2024-01-08,525.00,549.90,522.00,545.30,5.88,"66,346.00","35,619,880.30"
44,2024-01-07,535.00,536.50,507.10,515.00,-3.40,"57,286.00","29,807,840.50"
45,2024-01-04,548.00,549.00,533.10,533.10,-1.09,"73,879.00","40,058,431.30"
46,2024-01-03,534.10,542.00,526.40,539.00,1.13,"60,172.00","32,154,335.90"
47,2024-01-02,550.00,550.00,532.00,533.00,-3.13,"57,502.00","30,889,736.30"
48,2024-01-01,561.00,573.20,547.00,550.20,-1.93,"91,022.00","50,680,517.50"
49,2023-12-28,586.60,586.60,558.70,561.00,-2.45,"102,314.00","57,793,700.60"
50,2023-12-27,625.00,625.00,574.00,575.10,-9.82,"286,863.00","167,088,811.20"
51,2023-12-24,579.80,637.70,561.30,637.70,9.99,"155,555.00","89,482,022.10"
52,2023-12-21,613.90,637.00,576.00,579.80,-7.44,"142,338.00","83,534,318.20"
53,2023-12-20,577.00,626.40,567.00,626.40,5.24,"148,885.00","87,445,390.40"
54,2023-12-19,568.20,575.00,540.00,573.00,-1.16,"147,141.00","82,126,464.00"
55,2023-12-18,537.50,579.70,525.00,579.70,10.00,"111,286.00","59,721,042.30"
56,2023-12-17,518.50,527.00,502.10,527.00,-0.38,"52,501.00","27,360,132.80"
57,2023-12-14,526.00,534.50,523.10,529.00,-1.12,"40,145.00","21,188,968.80"
58,2023-12-13,555.90,555.90,531.50,535.00,-1.83,"44,435.00","24,053,895.70"
59,2023-12-12,552.00,552.80,532.20,545.00,0.55,"80,529.00","44,052,469.40"
60,2023-12-11,550.00,550.00,520.00,542.00,0.00,"112,438.00","59,762,382.60"
61,2023-12-10,517.10,547.00,517.10,542.00,6.90,"6,573.00","3,543,184.30"
62,2023-12-07,487.10,511.00,487.10,507.00,2.22,"28,712.00","14,489,560.20"
63,2023-12-06,493.00,498.00,487.20,496.00,0.81,"13,854.00","6,822,627.60"
64,2023-12-05,490.00,507.90,486.70,492.00,-1.40,"23,778.00","11,763,171.60"
65,2023-12-04,495.00,504.00,488.00,499.00,0.81,"16,130.00","8,045,922.70"
66,2023-12-03,490.00,495.00,485.10,495.00,0.00,"9,740.00","4,755,518.90"
67,2023-11-30,492.00,496.90,487.00,495.00,-0.28,"11,765.00","5,768,555.00"
68,2023-11-29,502.00,512.00,494.00,496.40,-2.03,"13,150.00","6,562,329.40"
69,2023-11-28,517.90,517.90,497.60,506.70,-1.42,"31,690.00","15,878,603.50"
