SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-03-10,590.00,602.00,590.00,595.00,0.85,"94,028.00","56,110,427.30"
2,2024-03-07,588.00,597.70,582.00,590.00,0.00,"27,018.00","15,951,011.30"
3,2024-03-06,577.20,598.00,577.20,590.00,0.19,"44,757.00","26,397,728.10"
4,2024-03-05,610.00,610.00,587.20,588.90,-3.14,"63,717.00","37,821,146.40"
5,2024-03-04,594.60,619.90,594.60,608.00,4.29,"4,436.00","2,730,318.00"
6,2024-03-03,580.00,590.00,579.00,583.00,0.00,"35,075.00","20,482,327.10"
7,2024-02-29,575.30,595.00,575.30,583.00,-0.51,"33,365.00","19,516,407.50"
8,2024-02-28,595.00,599.40,585.30,586.00,-1.18,"35,779.00","21,234,849.20"
9,2024-02-27,600.00,600.00,591.00,593.00,-0.52,"48,977.00","29,134,103.00"
10,2024-02-26,598.00,605.00,593.10,596.10,-0.62,"103,584.00","61,807,918.60"
11,2024-02-25,582.40,628.10,582.40,599.80,5.04,"415,949.00","251,812,242.20"
12,2024-02-22,560.00,577.00,560.00,571.00,1.01,"59,567.00","33,782,291.00"
13,2024-02-21,566.20,575.00,565.10,565.30,-0.91,"23,665.00","13,413,692.70"
14,2024-02-20,556.30,574.00,556.30,570.50,1.33,"40,415.00","22,961,056.30"
15,2024-02-18,580.10,580.10,562.00,563.00,-3.11,"49,272.00","28,080,354.30"
16,2024-02-15,596.00,596.00,580.10,581.10,-1.34,"32,845.00","19,198,801.10"
17,2024-02-14,582.00,590.00,579.10,589.00,1.20,"25,700.00","15,036,980.20"
18,2024-02-13,590.00,592.00,581.00,582.00,-2.35,"22,931.00","13,475,026.90"
19,2024-02-12,595.00,602.00,585.10,596.00,0.00,"24,279.00","14,467,211.40"
20,2024-02-11,591.00,602.00,591.00,596.00,0.17,"31,359.00","18,677,724.00"
21,2024-02-08,600.00,602.00,590.50,595.00,-0.03,"30,392.00","18,080,272.10"
22,2024-02-07,586.10,598.50,583.60,595.20,1.55,"32,217.00","19,144,510.50"
23,2024-02-06,572.00,590.00,572.00,586.10,0.70,"26,008.00","15,232,042.00"
24,2024-02-05,587.00,598.90,581.30,582.00,-0.85,"23,080.00","13,561,744.40"
25,2024-02-04,595.00,595.00,582.00,587.00,-0.53,"36,976.00","21,721,592.50"
26,2024-02-01,585.20,602.00,585.20,590.10,-0.35,"62,396.00","37,059,954.50"
27,2024-01-31,603.00,608.00,592.00,592.20,-1.95,"65,124.00","38,911,259.50"
28,2024-01-30,610.00,613.00,595.00,604.00,-0.17,"99,342.00","60,041,301.30"
29,2024-01-29,585.00,605.00,585.00,605.00,2.72,"58,277.00","34,738,809.40"
30,2024-01-28,600.00,600.90,586.30,589.00,-1.01,"42,307.00","25,005,498.20"
31,2024-01-25,595.00,600.00,588.00,595.00,0.00,"86,728.00","51,468,603.60"
32,2024-01-24,592.90,609.90,592.90,595.00,-1.65,"76,367.00","45,990,058.50"
33,2024-01-23,618.30,618.30,597.00,605.00,-0.20,"98,383.00","59,869,570.90"
34,2024-01-22,580.00,625.00,580.00,606.20,2.73,"266,328.00","162,138,338.80"
35,2024-01-21,580.00,594.60,576.10,590.10,0.89,"88,159.00","51,634,926.60"
36,2024-01-18,570.10,586.50,569.90,584.90,0.72,"75,373.00","43,566,844.00"
37,2024-01-17,590.00,601.80,580.00,580.70,-1.58,"77,443.00","45,524,626.90"
