SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
1,2024-02-22,431.10,440.10,427.00,428.10,-1.59,"21,536.00","9,326,146.80"
2,2024-02-21,437.30,445.00,432.10,435.00,-0.66,"10,015.00","4,371,152.20"
3,2024-02-20,436.00,441.00,435.30,437.90,-0.50,"12,337.00","5,395,497.60"
4,2024-02-18,443.00,446.00,440.00,440.10,-2.20,"14,107.00","6,235,651.00"
5,2024-02-15,447.00,460.00,445.30,450.00,-1.10,"22,299.00","10,002,939.40"
6,2024-02-14,464.00,464.00,446.30,455.00,-1.19,"17,263.00","7,826,411.00"
7,2024-02-13,460.00,463.70,441.00,460.50,-1.31,"33,863.00","15,334,881.30"
8,2024-02-12,456.00,468.30,456.00,466.60,0.78,"11,336.00","5,261,503.10"
9,2024-02-11,471.10,476.00,461.00,463.00,0.24,"31,411.00","14,685,549.90"
10,2024-02-08,458.00,463.00,455.00,461.90,0.00,"11,266.00","5,166,165.10"
11,2024-02-07,459.00,464.40,455.10,461.90,0.43,"23,274.00","10,713,269.60"
12,2024-02-06,443.00,461.00,443.00,459.90,2.66,"16,214.00","7,348,420.10"
13,2024-02-05,438.70,451.00,438.70,448.00,0.22,"12,871.00","5,743,829.80"
14,2024-02-04,445.00,452.00,444.00,447.00,-1.32,"7,299.00","3,261,616.00"
15,2024-02-01,445.00,457.10,445.00,453.00,-0.22,"18,804.00","8,462,797.50"
16,2024-01-31,453.00,467.00,453.00,454.00,-1.73,"30,449.00","14,005,794.70"
17,2024-01-30,457.00,463.00,455.00,462.00,1.09,"17,629.00","8,098,163.20"
18,2024-01-29,462.00,471.00,455.00,457.00,-1.08,"22,238.00","10,222,895.90"
19,2024-01-28,459.00,466.20,457.00,462.00,0.65,"21,191.00","9,758,305.00"
20,2024-01-25,463.00,468.80,456.60,459.00,-1.29,"19,423.00","8,959,658.90"
21,2024-01-24,465.00,471.00,460.70,465.00,0.22,"22,634.00","10,531,258.50"
22,2024-01-23,458.00,465.50,455.00,464.00,0.87,"26,661.00","12,315,722.90"
23,2024-01-22,466.00,471.00,458.30,460.00,-2.13,"28,310.00","13,122,891.80"
24,2024-01-21,465.00,474.00,460.00,470.00,1.10,"41,007.00","19,266,458.30"
25,2024-01-18,460.00,470.00,458.90,464.90,-0.66,"30,497.00","14,133,786.20"
26,2024-01-17,475.00,484.50,465.70,468.00,-1.47,"52,333.00","24,898,962.40"
27,2024-01-16,466.00,478.00,463.00,475.00,1.69,"21,702.00","10,277,609.30"
28,2024-01-14,459.00,474.00,459.00,467.10,0.41,"20,850.00","9,746,915.90"
29,2024-01-11,476.10,476.10,464.60,465.20,-2.06,"17,837.00","8,337,351.60"
30,2024-01-10,489.20,508.80,470.00,475.00,-1.04,"36,278.00","17,390,489.10"
31,2024-01-09,473.30,483.40,471.00,480.00,2.13,"46,965.00","22,425,556.00"
32,2024-01-08,463.00,479.00,453.10,470.00,3.30,"24,747.00","11,526,780.70"
33,2024-01-07,479.00,479.00,453.00,455.00,-3.19,"37,213.00","17,118,022.60"
34,2024-01-04,468.00,472.00,457.10,470.00,0.43,"39,911.00","18,507,617.60"
35,2024-01-03,462.00,477.00,458.10,468.00,1.23,"25,567.00","11,981,235.00"
36,2024-01-02,492.00,492.60,461.10,462.30,-4.29,"34,760.00","16,371,740.90"
37,2024-01-01,481.00,492.00,479.00,483.00,1.05,"44,718.00","21,671,025.70"
38,2023-12-28,476.00,489.00,476.00,478.00,-1.44,"36,085.00","17,364,473.40"
39,2023-12-27,485.10,493.00,479.30,485.00,0.83,"29,564.00","14,358,196.80"
40,2023-12-24,479.00,503.90,477.10,481.00,0.42,"64,387.00","31,485,595.10"
41,2023-12-21,490.00,505.00,479.00,479.00,-4.20,"68,516.00","33,479,052.10"
42,2023-12-20,506.00,514.90,497.00,500.00,-0.99,"64,614.00","32,671,750.60"
43,2023-12-19,493.00,510.00,478.50,505.00,4.34,"87,134.00","42,983,597.50"
44,2023-12-18,486.00,505.00,479.30,484.00,0.00,"70,796.00","34,343,953.50"
45,2023-12-17,484.50,494.00,476.00,484.00,-2.02,"88,152.00","42,800,437.60"
46,2023-12-14,488.10,496.00,482.00,494.00,-0.80,"39,529.00","19,329,026.40"
47,2023-12-13,499.00,510.00,490.00,498.00,-1.58,"61,061.00","30,396,077.90"
48,2023-12-12,484.10,516.00,466.00,506.00,3.90,"187,344.00","92,594,329.00"
49,2023-12-11,485.00,497.00,470.10,487.00,1.46,"85,244.00","40,924,522.10"
50,2023-12-10,479.40,505.00,479.40,480.00,2.13,"10,050.00","4,969,928.20"
51,2023-12-07,468.00,475.00,455.60,470.00,1.08,"28,134.00","13,152,594.50"
52,2023-12-06,445.00,469.00,445.00,465.00,2.88,"25,345.00","11,592,171.40"
53,2023-12-05,451.00,466.00,450.00,452.00,0.44,"27,827.00","12,723,365.70"
54,2023-12-04,440.00,457.00,434.30,450.00,2.23,"19,405.00","8,741,394.50"
55,2023-12-03,440.00,449.00,438.00,440.20,-0.97,"10,678.00","4,717,790.70"
56,2023-11-30,450.80,460.00,439.00,444.50,-3.37,"26,385.00","11,830,621.50"
57,2023-11-29,461.00,472.00,454.20,460.00,-1.29,"13,253.00","6,110,107.20"
58,2023-11-28,460.10,471.00,460.10,466.00,-0.43,"6,085.00","2,841,183.50"
59,2023-11-27,469.00,480.00,462.00,468.00,-2.09,"36,942.00","17,236,838.50"
60,2023-11-26,454.00,483.40,450.00,478.00,4.14,"28,515.00","13,417,656.70"
61,2023-11-23,416.00,459.00,416.00,459.00,8.25,"30,831.00","13,539,880.40"
62,2023-11-22,413.00,424.00,407.70,424.00,2.59,"8,975.00","3,749,391.20"
63,2023-11-21,416.30,420.00,411.10,413.30,-2.52,"4,793.00","1,991,972.80"
64,2023-11-20,420.00,430.00,416.60,424.00,1.44,"12,309.00","5,230,849.40"
65,2023-11-09,420.00,433.00,414.10,418.00,-1.65,"9,178.00","3,840,249.80"
66,2023-11-08,419.00,428.40,415.00,425.00,0.83,"5,674.00","2,400,152.00"
67,2023-11-07,419.00,424.00,412.40,421.50,0.60,"6,213.00","2,606,669.30"
68,2023-11-06,401.70,419.00,401.70,419.00,2.24,"11,991.00","4,953,742.00"
69,2023-11-05,411.20,412.00,401.50,409.80,-2.17,"13,314.00","5,405,635.00"
70,2023-11-02,416.00,437.90,413.30,418.90,-0.50,"9,506.00","3,960,065.10"
71,2023-11-01,430.00,430.00,416.00,421.00,-2.09,"5,346.00","2,252,477.30"
72,2023-10-31,429.00,430.00,418.00,430.00,-1.38,"4,122.00","1,741,158.00"
73,2023-10-30,430.60,436.00,415.00,436.00,3.27,"10,932.00","4,587,744.20"
74,2023-10-29,427.30,427.30,420.00,422.20,-2.90,"5,377.00","2,269,472.10"
75,2023-10-19,426.00,440.00,425.20,434.80,0.65,"13,771.00","5,981,363.00"
76,2023-10-18,420.00,440.00,419.00,432.00,2.13,"9,997.00","4,329,715.10"
77,2023-10-17,422.00,435.90,422.00,423.00,-1.17,"6,101.00","2,607,399.30"
78,2023-10-16,440.00,440.00,417.90,428.00,-4.14,"26,607.00","11,297,469.00"
79,2023-10-12,456.80,456.80,440.10,446.50,-4.21,"10,748.00","4,823,162.10"
